    0.6197  -86.8397
    0.6271  -86.8393
    0.6344  -86.8389
    0.6417  -86.8384
    0.6491  -86.8379
    0.6565  -86.8375
    0.6638  -86.8371
    0.6711  -86.8367
    0.6785  -86.8363
    0.6859  -86.8359
    0.6932  -86.8355
    0.7005  -86.8350
    0.7079  -86.8345
    0.7153  -86.8341
    0.7226  -86.8337
    0.7299  -86.8333
    0.7373  -86.8329
    0.7447  -86.8325
    0.7520  -86.8323
    0.7594  -86.8320
    0.7667  -86.8318
    0.7741  -86.8316
    0.7814  -86.8314
    0.7888  -86.8312
    0.7961  -86.8310
    0.8035  -86.8309
    0.8108  -86.8309
    0.8182  -86.8306
    0.8255  -86.8305
    0.8329  -86.8305
    0.8402  -86.8306
    0.8474  -86.8306
    0.8547  -86.8307
    0.8620  -86.8308
    0.8692  -86.8307
    0.8765  -86.8307
    0.8837  -86.8307
    0.8910  -86.8309
    0.8983  -86.8308
    0.9055  -86.8309
    0.9128  -86.8309
    0.9201  -86.8309
    0.9273  -86.8309
    0.9346  -86.8309
    0.9419  -86.8309
    0.9491  -86.8308
    0.9564  -86.8309
    0.9637  -86.8311
    0.9709  -86.8311
    0.9782  -86.8312
    0.9855  -86.8311
    0.9927  -86.8311
    1.0000  -86.8311
 
    0.0000  -53.0284
    0.0074  -53.0285
    0.0148  -53.0284
    0.0221  -53.0282
    0.0295  -53.0277
    0.0369  -53.0271
    0.0443  -53.0263
    0.0517  -53.0254
    0.0591  -53.0244
    0.0665  -53.0233
    0.0738  -53.0221
    0.0812  -53.0206
    0.0886  -53.0188
    0.0960  -53.0173
    0.1034  -53.0153
    0.1108  -53.0133
    0.1182  -53.0114
    0.1255  -53.0094
    0.1329  -53.0072
    0.1403  -53.0049
    0.1477  -53.0028
    0.1551  -53.0004
    0.1624  -52.9981
    0.1698  -52.9954
    0.1772  -52.9928
    0.1846  -52.9900
    0.1920  -52.9869
    0.1994  -52.9842
    0.2068  -52.9815
    0.2142  -52.9785
    0.2215  -52.9756
    0.2289  -52.9726
    0.2363  -52.9700
    0.2437  -52.9672
    0.2511  -52.9701
    0.2585  -52.9737
    0.2659  -52.9773
    0.2732  -52.9808
    0.2806  -52.9842
    0.2880  -52.9880
    0.2954  -52.9916
    0.3028  -52.9950
    0.3101  -52.9984
    0.3175  -53.0016
    0.3249  -53.0050
    0.3323  -53.0080
    0.3397  -53.0110
    0.3471  -53.0138
    0.3545  -53.0166
    0.3619  -53.0192
    0.3692  -53.0217
    0.3766  -53.0243
    0.3840  -53.0268
    0.3914  -53.0288
    0.3988  -53.0308
    0.4062  -53.0326
    0.4135  -53.0343
    0.4209  -53.0357
    0.4283  -53.0368
    0.4357  -53.0382
    0.4431  -53.0395
    0.4504  -53.0404
    0.4578  -53.0412
    0.4652  -53.0417
    0.4726  -53.0421
    0.4800  -53.0422
    0.4874  -53.0422
    0.4947  -53.0423
    0.5021  -53.0418
    0.5094  -53.0414
    0.5168  -53.0402
    0.5241  -53.0394
    0.5315  -53.0391
    0.5389  -53.0389
    0.5462  -53.0386
    0.5535  -53.0384
    0.5609  -53.0381
    0.5683  -53.0375
    0.5756  -53.0372
    0.5829  -53.0371
    0.5903  -53.0367
    0.5977  -53.0363
    0.6050  -53.0359
    0.6123  -53.0351
    0.6197  -53.0347
    0.6271  -53.0342
    0.6344  -53.0339
    0.6417  -53.0333
    0.6491  -53.0328
    0.6565  -53.0325
    0.6638  -53.0320
    0.6711  -53.0317
    0.6785  -53.0313
    0.6859  -53.0309
    0.6932  -53.0303
    0.7005  -53.0299
    0.7079  -53.0294
    0.7153  -53.0289
    0.7226  -53.0284
    0.7299  -53.0280
    0.7373  -53.0276
    0.7447  -53.0271
    0.7520  -53.0270
    0.7594  -53.0264
    0.7667  -53.0261
    0.7741  -53.0259
    0.7814  -53.0256
    0.7888  -53.0254
    0.7961  -53.0253
    0.8035  -53.0264
    0.8108  -53.0279
    0.8182  -53.0280
    0.8255  -53.0284
    0.8329  -53.0284
    0.8402  -53.0286
    0.8474  -53.0287
    0.8547  -53.0288
    0.8620  -53.0288
    0.8692  -53.0286
    0.8765  -53.0286
    0.8837  -53.0288
    0.8910  -53.0289
    0.8983  -53.0289
    0.9055  -53.0292
    0.9128  -53.0292
    0.9201  -53.0292
    0.9273  -53.0292
    0.9346  -53.0292
    0.9419  -53.0292
    0.9491  -53.0292
    0.9564  -53.0290
    0.9637  -53.0291
    0.9709  -53.0291
    0.9782  -53.0292
    0.9855  -53.0292
    0.9927  -53.0292
    1.0000  -53.0292
 
    0.0000  -53.0248
    0.0074  -53.0246
    0.0148  -53.0243
    0.0221  -53.0243
    0.0295  -53.0239
    0.0369  -53.0235
    0.0443  -53.0227
    0.0517  -53.0219
    0.0591  -53.0207
    0.0665  -53.0197
    0.0738  -53.0184
    0.0812  -53.0170
    0.0886  -53.0154
    0.0960  -53.0138
    0.1034  -53.0121
    0.1108  -53.0103
    0.1182  -53.0084
    0.1255  -53.0067
    0.1329  -53.0046
    0.1403  -53.0025
    0.1477  -53.0001
    0.1551  -52.9977
    0.1624  -52.9953
    0.1698  -52.9930
    0.1772  -52.9906
    0.1846  -52.9879
    0.1920  -52.9853
    0.1994  -52.9823
    0.2068  -52.9797
    0.2142  -52.9770
    0.2215  -52.9742
    0.2289  -52.9712
    0.2363  -52.9683
    0.2437  -52.9672
    0.2511  -52.9698
    0.2585  -52.9731
    0.2659  -52.9769
    0.2732  -52.9801
    0.2806  -52.9836
    0.2880  -52.9868
    0.2954  -52.9903
    0.3028  -52.9935
    0.3101  -52.9971
    0.3175  -53.0003
    0.3249  -53.0033
    0.3323  -53.0062
    0.3397  -53.0091
    0.3471  -53.0118
    0.3545  -53.0145
    0.3619  -53.0170
    0.3692  -53.0195
    0.3766  -53.0216
    0.3840  -53.0238
    0.3914  -53.0258
    0.3988  -53.0278
    0.4062  -53.0297
    0.4135  -53.0315
    0.4209  -53.0329
    0.4283  -53.0345
    0.4357  -53.0354
    0.4431  -53.0364
    0.4504  -53.0373
    0.4578  -53.0381
    0.4652  -53.0388
    0.4726  -53.0391
    0.4800  -53.0392
    0.4874  -53.0391
    0.4947  -53.0391
    0.5021  -53.0392
    0.5094  -53.0392
    0.5168  -53.0393
    0.5241  -53.0391
    0.5315  -53.0373
    0.5389  -53.0351
    0.5462  -53.0327
    0.5535  -53.0304
    0.5609  -53.0281
    0.5683  -53.0250
    0.5756  -53.0218
    0.5829  -53.0179
    0.5903  -53.0143
    0.5977  -53.0107
    0.6050  -53.0067
    0.6123  -53.0028
    0.6197  -52.9982
    0.6271  -52.9939
    0.6344  -52.9893
    0.6417  -52.9849
    0.6491  -52.9803
    0.6565  -52.9756
    0.6638  -52.9712
    0.6711  -52.9672
    0.6785  -52.9719
    0.6859  -52.9763
    0.6932  -52.9806
    0.7005  -52.9847
    0.7079  -52.9887
    0.7153  -52.9930
    0.7226  -52.9968
    0.7299  -53.0005
    0.7373  -53.0039
    0.7447  -53.0072
    0.7520  -53.0106
    0.7594  -53.0135
    0.7667  -53.0166
    0.7741  -53.0196
    0.7814  -53.0217
    0.7888  -53.0237
    0.7961  -53.0250
    0.8035  -53.0252
